"counts","names"
283,"each of"
283,"i look"
283,"is only"
283,"no idea"
283,"the local"
283,"time with"
283,"today and"
282,"do something"
282,"health care"
282,"near the"
282,"on sunday"
282,"other than"
282,"took the"
282,"was my"
281,"had an"
281,"i took"
281,"look forward"
281,"to those"
281,"two weeks"
281,"week i"
281,"you at"
281,"you feel"
280,"if your"
280,"on its"
280,"the bill"
280,"to join"
280,"was no"
279,"before you"
279,"enjoy the"
279,"one i"
279,"put it"
279,"the floor"
279,"using the"
278,"a former"
278,"it really"
278,"on tuesday"
278,"the phone"
278,"wake up"
277,"came out"
277,"create a"
277,"hundreds of"
277,"it that"
277,"my phone"
277,"point of"
277,"there i"
277,"year old"
276,"come in"
276,"days of"
276,"family and"
276,"in on"
276,"in san"
276,"night and"
276,"thought i"
275,"a young"
275,"and our"
275,"because you"
275,"say i"
275,"says the"
275,"series of"
275,"so they"
275,"the market"
275,"the power"
274,"does it"
274,"including the"
274,"is something"
274,"look for"
274,"the building"
274,"things i"
274,"this point"
274,"to turn"
274,"which has"
273,"as to"
273,"of one"
273,"on facebook"
273,"see that"
273,"that makes"
273,"the little"
273,"to end"
273,"work for"
272,"a series"
272,"for its"
272,"get some"
272,"let the"
272,"up my"
271,"bunch of"
271,"but for"
271,"i wouldnt"
271,"pretty much"
271,"really good"
271,"the early"
270,"are now"
270,"get in"
270,"new year"
270,"the three"
270,"them the"
270,"ways to"
269,"a bunch"
269,"if not"
269,"keep it"
269,"or even"
269,"school and"
269,"to support"
268,"i read"
268,"return to"
268,"the perfect"
268,"this will"
268,"too i"
268,"was at"
268,"yeah i"
267,"an old"
267,"and two"
267,"one more"
266,"for sure"
266,"has not"
266,"no more"
266,"of any"
266,"so im"
266,"someone who"
266,"where we"
265,"as part"
265,"few weeks"
265,"i tried"
265,"in there"
265,"it should"
265,"its so"
265,"of things"
265,"on me"
265,"trip to"
265,"won the"
265,"would make"
265,"you ever"
264,"hes a"
264,"more to"
264,"not so"
264,"nothing to"
264,"pair of"
264,"quite a"
264,"them i"
264,"to avoid"
264,"with its"
264,"year i"
264,"your favorite"
263,"a guy"
263,"am a"
263,"but as"
263,"he and"
263,"the former"
263,"up i"
263,"who will"
262,"a problem"
262,"and were"
262,"come up"
262,"must have"
262,"the president"
262,"want a"
262,"which he"
261,"i heard"
261,"it it"
261,"my day"
261,"on what"
261,"think you"
261,"to one"
261,"to visit"
260,"access to"
260,"it might"
260,"none of"
260,"to hold"
260,"to not"
260,"to speak"
260,"variety of"
259,"did it"
259,"he doesnt"
259,"in with"
259,"it looks"
259,"making a"
259,"once again"
259,"take it"
259,"tend to"
259,"we didnt"
259,"week and"
258,"call me"
258,"found a"
258,"off a"
258,"to open"
258,"to what"
257,"an email"
257,"be used"
257,"for what"
257,"glad you"
257,"home to"
257,"ice cream"
257,"the west"
257,"things are"
256,"addition to"
256,"saw the"
256,"this book"
255,"ended up"
255,"for about"
255,"last time"
255,"love with"
255,"only the"
255,"the list"
255,"the person"
255,"the side"
255,"when youre"
255,"who were"
255,"years in"
254,"for another"
254,"night i"
254,"of god"
254,"that had"
254,"the guy"
254,"the kind"
254,"there for"
253,"a half"
253,"a strong"
253,"just one"
253,"of some"
253,"talking to"
253,"the site"
253,"they need"
253,"to cut"
253,"years old"
252,"again i"
252,"believe in"
252,"excited about"
252,"give it"
252,"is why"
252,"it at"
252,"pretty good"
252,"that all"
252,"the district"
252,"the heart"
252,"use a"
252,"which the"
251,"a short"
251,"best of"
251,"but thats"
251,"have done"
251,"me so"
251,"much to"
251,"so happy"
251,"the economy"
251,"to catch"
251,"was really"
250,"a family"
250,"have fun"
250,"of other"
250,"that when"
249,"but to"
249,"for now"
249,"more and"
249,"our own"
249,"saw a"
249,"the court"
249,"the home"
249,"the project"
249,"to believe"
249,"to feel"
249,"was still"
248,"be back"
248,"day is"
248,"from her"
248,"house and"
248,"terms of"
248,"the head"
248,"the hospital"
247,"didnt want"
247,"how about"
247,"join us"
247,"on one"
247,"one to"
247,"the center"
247,"to reach"
247,"to some"
247,"very much"
247,"was like"
247,"with and"
247,"wonder if"
247,"you really"
247,"youre a"
246,"at first"
246,"do is"
246,"earlier this"
246,"excited for"
246,"got my"
246,"have never"
246,"its hard"
246,"just saw"
246,"my parents"
246,"no i"
246,"picked up"
246,"that his"
246,"that means"
246,"to figure"
246,"with one"
245,"about his"
245,"in march"
245,"majority of"
245,"no way"
245,"put on"
245,"to finish"
245,"was born"
245,"will you"
244,"a story"
244,"are also"
244,"can we"
244,"has no"
244,"just want"
244,"put a"
244,"same thing"
244,"so what"
244,"sure you"
244,"that and"
244,"the line"
244,"the office"
244,"the yearold"
244,"why the"
243,"at his"
243,"back of"
243,"five years"
243,"form of"
243,"get me"
243,"it be"
243,"ive got"
243,"things to"
243,"woke up"
242,"a full"
242,"a movie"
242,"day for"
242,"for being"
242,"the red"
242,"working with"
241,"also the"
241,"can help"
241,"do what"
241,"more about"
241,"other people"
241,"this i"
240,"ahead of"
240,"back from"
240,"been the"
240,"dont need"
240,"glad to"
240,"him a"
240,"it took"
240,"make you"
240,"my best"
240,"said a"
240,"they should"
240,"us in"
240,"year in"
239,"are more"
239,"as many"
239,"do so"
239,"good thing"
239,"hope that"
239,"i hear"
239,"if a"
239,"me at"
239,"my last"
