"counts","names"
87,"the day i"
87,"the price of"
87,"the way of"
87,"there have been"
87,"to change the"
87,"to the world"
87,"we dont have"
86,"and a few"
86,"and i can"
86,"at the bottom"
86,"figure out how"
86,"for a great"
86,"give it a"
86,"have you been"
86,"here are some"
86,"here in the"
86,"if you like"
86,"in the fourth"
86,"in the meantime"
86,"is a big"
86,"it is also"
86,"it seems to"
86,"makes me feel"
86,"not sure what"
86,"of the national"
86,"she said she"
86,"so i have"
86,"the man who"
86,"the right thing"
86,"the value of"
86,"to get into"
86,"up for a"
86,"will be at"
86,"you should be"
85,"a trip to"
85,"able to do"
85,"as i was"
85,"back to work"
85,"feel like a"
85,"find a way"
85,"for those of"
85,"great way to"
85,"have to take"
85,"i cant even"
85,"in my mind"
85,"in the dark"
85,"involved in the"
85,"its easy to"
85,"of you who"
85,"on the field"
85,"the list of"
85,"the result of"
85,"the sound of"
85,"to play with"
85,"to the top"
85,"what the hell"
85,"when they are"
85,"whether or not"
85,"who has been"
84,"a look at"
84,"but i know"
84,"expected to be"
84,"feel like im"
84,"i know the"
84,"i know what"
84,"i see you"
84,"i think about"
84,"in a small"
84,"in my opinion"
84,"is all about"
84,"is not an"
84,"know what you"
84,"last year and"
84,"many of them"
84,"may be the"
84,"men and women"
84,"of the month"
84,"the difference between"
84,"the whole thing"
84,"they will be"
84,"thought i was"
84,"time of year"
84,"to be at"
84,"to get your"
84,"vice president of"
84,"what you are"
84,"will always be"
84,"you know it"
83,"between the two"
83,"gonna be a"
83,"has not been"
83,"i needed to"
83,"i will have"
83,"in san diego"
83,"in the room"
83,"is going on"
83,"it was my"
83,"its all about"
83,"this is why"
83,"we can do"
83,"went on to"
83,"why am i"
82,"a copy of"
82,"and then the"
82,"around the corner"
82,"dont have the"
82,"even if it"
82,"executive director of"
82,"going back to"
82,"i look forward"
82,"i really want"
82,"i was the"
82,"if i dont"
82,"in honor of"
82,"is more than"
82,"is no longer"
82,"it turns out"
82,"lot of the"
82,"make it a"
82,"may be a"
82,"might as well"
82,"more than just"
82,"not a good"
82,"of more than"
82,"of the united"
82,"of those who"
82,"so i dont"
82,"soon as i"
82,"spread the word"
82,"stay tuned for"
82,"the past two"
82,"the super bowl"
82,"thought it would"
82,"to have been"
82,"to the city"
82,"try to get"
82,"trying to be"
82,"was at the"
82,"way to get"
82,"will be held"
82,"work in the"
81,"a few times"
81,"across the street"
81,"as i can"
81,"as they are"
81,"back into the"
81,"because it was"
81,"for them to"
81,"good to see"
81,"he said that"
81,"in the league"
81,"know that i"
81,"listening to the"
81,"many of us"
81,"many of you"
81,"of the th"
81,"one in the"
81,"out of his"
81,"over to the"
81,"see you at"
81,"she is a"
81,"so i was"
81,"the associated press"
81,"the city and"
81,"the time and"
81,"to go through"
81,"to know what"
81,"to you and"
81,"we are all"
81,"well as a"
81,"you are going"
80,"and we will"
80,"can be found"
80,"did you get"
80,"family and friends"
80,"for a good"
80,"go to a"
80,"got to be"
80,"has been in"
80,"have time to"
80,"he wanted to"
80,"i am sure"
80,"i have an"
80,"i just dont"
80,"i love how"
80,"i love to"
80,"i was at"
80,"if i were"
80,"in a long"
80,"in the fall"
80,"is at the"
80,"is that it"
80,"me if you"
80,"my life i"
80,"need to make"
80,"no idea what"
80,"of the top"
80,"of them are"
80,"on the new"
80,"part of my"
80,"s and s"
80,"so i could"
80,"some of them"
80,"that would have"
80,"the future of"
80,"the house and"
80,"to hear that"
80,"to make this"
80,"to play in"
80,"to play the"
80,"to the us"
79,"a way that"
79,"dont think i"
79,"fact that the"
79,"first day of"
79,"get ready for"
79,"he will be"
79,"i think he"
79,"im about to"
79,"it but i"
79,"it seems like"
79,"just need to"
79,"kind of a"
79,"last year the"
79,"my best friend"
79,"on the radio"
79,"out of your"
79,"should not be"
79,"start of the"
79,"the regular season"
79,"the role of"
79,"the way you"
79,"the world to"
79,"there is an"
79,"they are the"
79,"this is one"
79,"to stay in"
79,"was a bit"
79,"we are in"
79,"what you have"
79,"world war ii"
78,"and had a"
78,"as a whole"
78,"as i am"
78,"but i can"
78,"could not be"
78,"couple of weeks"
78,"going to happen"
78,"have to wait"
78,"i have ever"
78,"i was not"
78,"i was on"
78,"ill have to"
78,"in the playoffs"
78,"is the same"
78,"that have been"
78,"the best thing"
78,"the hands of"
78,"the most part"
78,"the past year"
78,"the supreme court"
78,"the way it"
78,"there would be"
78,"to see him"
78,"what are your"
78,"work on the"
77,"about it i"
77,"be the most"
77,"been in the"
77,"dont know why"
77,"even though the"
77,"forward to it"
77,"had to go"
77,"has been the"
77,"hes going to"
77,"how do i"
77,"i had been"
77,"it is just"
77,"make it to"
77,"of the past"
77,"of the two"
77,"talking about the"
77,"the first to"
77,"these are the"
77,"this week and"
77,"this year i"
77,"was born in"
77,"what did you"
77,"what you think"
77,"while i was"
77,"who you are"
77,"you can also"
77,"you would like"
76,"a beautiful day"
76,"a big deal"
76,"and i were"
76,"and its a"
76,"and that was"
76,"at least i"
76,"fall in love"
76,"had to do"
76,"here is the"
76,"i didnt get"
76,"i dont understand"
76,"i really like"
76,"in the midst"
76,"in the summer"
76,"not the only"
76,"of the country"
76,"oh my god"
76,"one or two"
76,"that i didnt"
76,"the son of"
76,"this morning i"
76,"those who have"
76,"to the other"
76,"why do i"
76,"with all of"
76,"you go to"
76,"you know how"
76,"you like to"
75,"a good one"
75,"and get a"
75,"and i hope"
75,"have been the"
75,"have to pay"
75,"i can say"
75,"i could not"
75,"i dont see"
75,"i feel so"
75,"i just saw"
75,"i may have"
75,"i saw a"
75,"i want you"
75,"in need of"
75,"in such a"
75,"is scheduled to"
75,"is the one"
75,"it does not"
75,"it if you"
75,"learn how to"
75,"me that i"
75,"not so much"
75,"of thousands of"
75,"the los angeles"
75,"the work of"
75,"there were no"
75,"think of the"
75,"to be there"
75,"to join the"
75,"to put the"
75,"up to a"
75,"why is it"
75,"with a new"
75,"with the new"
75,"you get the"
75,"you have an"
75,"you think of"
74,"a pretty good"
74,"a way of"
74,"an effort to"
74,"because of a"
74,"but i love"
74,"cinco de mayo"
74,"each other and"
74,"few years ago"
74,"had a lot"
74,"have a new"
74,"he had to"
74,"he is not"
74,"i didnt even"
74,"i dont really"
74,"i got my"
74,"ill be there"
74,"in the late"
74,"in the nation"
74,"is better than"
74,"it was all"
74,"it was only"
74,"its one of"
74,"name of the"
74,"now i am"
74,"of a new"
74,"out there and"
74,"said that the"
74,"so much i"
74,"take a look"
74,"thanks for your"
74,"that he would"
74,"the first two"
74,"the need for"
74,"the type of"
74,"the us and"
74,"thing to do"
74,"to help the"
74,"to say the"
74,"to the same"
74,"trying to find"
74,"want to have"
74,"was just a"
74,"we all know"
74,"we will have"
74,"why are you"
74,"with a few"
74,"with each other"
74,"would you like"
73,"as a way"
73,"as many as"
73,"first time i"
73,"for the season"
73,"game of the"
73,"in a couple"
73,"in the uk"
73,"live in a"
73,"might have been"
73,"none of the"
73,"of the few"
73,"on their own"
73,"part of our"
73,"return to the"
73,"said she was"
73,"so it was"
73,"that we can"
73,"the good news"
73,"the midst of"
73,"the things i"
73,"think it was"
73,"to a new"
73,"to come up"
73,"to do in"
73,"to do what"
73,"to each other"
73,"to end the"
73,"to everyone who"
73,"to keep it"
73,"to the end"
73,"to the people"
73,"turned out to"
73,"we went to"
73,"will you be"
73,"you know you"
73,"youve got to"
72,"a cup of"
72,"a really good"
72,"addition to the"
