"keys","vals"
"attempt",0.0087719298245614
"attempted",0.00551470588235294
"attempting",0.0148514851485149
"attempts",0.00955414012738853
"attend",0.025
"attendance",0.00646551724137931
"attended",0.0278925619834711
"attendees",0.0107142857142857
"attending",0.0183823529411765
"attention",0.0157687253613666
"attitude",0.0413385826771654
"attitudes",0.0375
"attorney",0.00564971751412429
"attorneys",0.00398936170212766
"attract",0.0231958762886598
"attracted",0.0182926829268293
"attraction",0.0223880597014925
"attractive",0.00531914893617021
"auction",0.0122950819672131
"audience",0.0303370786516854
"audiences",0.00862068965517241
"audio",0.0131578947368421
"audit",0.0107142857142857
"audition",0.00872093023255814
"aug",0.00955414012738853
"august",0.0228531855955679
"aunt",0.00700934579439252
"austin",0.00510204081632653
"australia",0.0136363636363636
"australian",0.0077319587628866
"authentic",0.0154639175257732
"author",0.00885826771653543
"authorities",0.00194300518134715
"authority",0.00688073394495413
"authorized",0.0107142857142857
"authors",0.0115830115830116
"autism",0.00694444444444444
"auto",0.00392670157068063
"automatic",0.0105633802816901
"automatically",0.00742574257425743
"autumn",0.0113636363636364
"av",0.00824175824175824
"available",0.0169172932330827
"ave",0.00882352941176471
"avengers",0.01171875
"avenue",0.0036231884057971
"average",0.0127314814814815
"averaged",0.00949367088607595
"averaging",0.0122950819672131
"avery",0.0138888888888889
"aviation",0.0138888888888889
"avocado",0.0136363636363636
"avoid",0.0159574468085106
"avoided",0.0104166666666667
"avoiding",0.00974025974025974
"aw",0.00358851674641148
"awaiting",0.0110294117647059
"awake",0.01875
"award",0.0280837004405286
"awarded",0.0267857142857143
"awards",0.0307167235494881
"aware",0.00692307692307692
"awareness",0.0235849056603774
"away",0.0131935047361299
"awe",0.00833333333333333
"awesome",0.00462487153134635
"awesomeness",0.0138888888888889
"awful",0.00837988826815642
"awhile",0.0416666666666667
"awkward",0.0101694915254237
"aww",0.00441176470588235
"awww",0.00961538461538462
"az",0.00882352941176471
"b",0.00788091068301226
"babe",0.00630252100840336
"babies",0.0158898305084746
"baby",0.0193220338983051
"back",0.00940146809712027
"backed",0.0121951219512195
"background",0.0244807121661721
"backgrounds",0.0138888888888889
"backing",0.0319148936170213
"backs",0.0204545454545455
"backup",0.0153061224489796
"backwards",0.0107142857142857
"backyard",0.0216346153846154
"bacon",0.0219665271966527
"bacteria",0.0136363636363636
"bad",0.0208016717325228
"badass",0.0131578947368421
"badge",0.0120967741935484
"badly",0.00506756756756757
"bag",0.0231006160164271
"bags",0.0234375
"bail",0.017578125
"bailey",0.0110294117647059
"bailout",0.01171875
"bake",0.00707547169811321
"baked",0.0204081632653061
"baker",0.0136363636363636
"bakery",0.0271084337349398
"baking",0.00561797752808989
"balance",0.0198529411764706
"balanced",0.00862068965517241
"ball",0.0217517401392111
"ballet",0.01171875
"ballot",0.00451807228915663
"ballroom",0.0122950819672131
"balls",0.0159574468085106
"baltimore",0.00436046511627907
"ban",0.0146103896103896
"banana",0.0167910447761194
"bananas",0.0133928571428571
"band",0.0266370699223085
"bands",0.0258620689655172
"bang",0.0326086956521739
"bank",0.0132
"banking",0.0076530612244898
"bankruptcy",0.0125
"banks",0.00480769230769231
"banned",0.0308219178082192
"banner",0.00986842105263158
"baptist",0.0136363636363636
"bar",0.0215946843853821
"barack",0.00678733031674208
"barbara",0.00700934579439252
"bare",0.00986842105263158
"barely",0.0164835164835165
"bargain",0.0120967741935484
"bargaining",0.0104166666666667
"barn",0.0115384615384615
"barnes",0.0210280373831776
"barrel",0.0076530612244898
"barrett",0.0138888888888889
"barrier",0.0127118644067797
"barry",0.0148514851485149
"bars",0.0224719101123595
"base",0.0164533820840951
"baseball",0.025197628458498
"based",0.0062047569803516
"basement",0.0115384615384615
"bases",0.027027027027027
"basic",0.00669642857142857
"basically",0.0184049079754601
"basics",0.00986842105263158
"basil",0.02
"basis",0.010989010989011
"basket",0.0225563909774436
"basketball",0.0141776937618147
"bass",0.0188679245283019
"bat",0.00614754098360656
"batch",0.0113636363636364
"bath",0.0178571428571429
"bathroom",0.0292207792207792
"batman",0.0110294117647059
"bats",0.0127118644067797
"batter",0.00694444444444444
"battery",0.0271739130434783
"batting",0.0185185185185185
"battle",0.0182119205298013
"battles",0.00961538461538462
"battling",0.0113636363636364
"bay",0.0118110236220472
"bb",0.00815217391304348
"bbc",0.0101351351351351
"bbq",0.0190677966101695
"bc",0.00240384615384615
"bd",0.00797872340425532
"be",0.0169891155687258
"beach",0.0187239944521498
"beaches",0.0105633802816901
"beads",0.0122950819672131
"bean",0.00669642857142857
"beans",0.0175233644859813
"bear",0.0137195121951219
"beard",0.00914634146341463
"bearing",0.0131578947368421
"bears",0.0121457489878543
"beast",0.0128205128205128
"beat",0.0153061224489796
"beaten",0.0326086956521739
"beating",0.0209497206703911
"beats",0.01
"beautiful",0.0112748045700541
"beautifully",0.00872093023255814
"beauty",0.0134271099744246
"became",0.00876168224299065
"because",0.00733281188893234
"become",0.0123550945698597
"becomes",0.0115384615384615
"becoming",0.0118733509234829
"bed",0.0186781609195402
"bedroom",0.0139751552795031
"beds",0.015625
"bee",0.00700934579439252
"beef",0.0231660231660232
"been",0.0209472155790912
"beer",0.021310181531176
"beers",0.0240213523131673
"bees",0.0107142857142857
"before",0.0140261115031757
"began",0.0122950819672131
"begin",0.0163755458515284
"beginning",0.0144927536231884
"begins",0.0202095808383234
"begun",0.0154109589041096
"behalf",0.00568181818181818
"behavior",0.0127118644067797
"behind",0.017680608365019
"beijing",0.0111940298507463
"being",0.0221958348556814
"beings",0.00872093023255814
"belgian",0.0138888888888889
"belief",0.0201612903225806
"beliefs",0.00721153846153846
"believe",0.0131447170756134
"believed",0.0137867647058824
"believes",0.00842696629213483
"believing",0.0255681818181818
"bell",0.015
"bella",0.0125
"bells",0.0178571428571429
"belly",0.0119047619047619
"belong",0.0303030303030303
"belongs",0.0164835164835165
"beloved",0.005859375
"below",0.00914634146341463
"belt",0.00493421052631579
"ben",0.00961538461538462
"bench",0.00360576923076923
"bend",0.0210280373831776
"beneath",0.0075
"benefit",0.0169683257918552
"benefits",0.0109603340292276
"benjamin",0.00974025974025974
"bennett",0.0102739726027397
"bent",0.0214285714285714
"berkeley",0.0122950819672131
"berlin",0.0131578947368421
"berry",0.0102739726027397
"beside",0.0227272727272727
"besides",0.0234375
"best",0.0196745562130178
"bet",0.020625
"beta",0.0136363636363636
"beth",0.00986842105263158
"better",0.0200562983814215
"betty",0.00872093023255814
"between",0.0106707317073171
"beverly",0.0108695652173913
"beyond",0.0188087774294671
"bias",0.0136363636363636
"bible",0.00907258064516129
"biblical",0.00949367088607595
"bicycle",0.0129310344827586
"bid",0.0144230769230769
"bieber",0.00581395348837209
"big",0.0223034274193548
"bigger",0.0111940298507463
"biggest",0.0118670886075949
"bike",0.0170454545454545
"bikes",0.0330882352941176
"bill",0.0171464860287892
"billion",0.00738007380073801
"billions",0.01
"bills",0.0184615384615385
"billy",0.0114503816793893
"bin",0.011968085106383
"bio",0.0105633802816901
"biology",0.0131578947368421
"bird",0.0246350364963504
"birds",0.0147058823529412
"birth",0.0219298245614035
"birthday",0.0131671348314607
"biscuits",0.0136363636363636
"bishop",0.00842696629213483
"bit",0.0162729026036644
"bitch",0.00131578947368421
"bitches",0.0038659793814433
"bite",0.023936170212766
"bites",0.0208333333333333
"bits",0.016304347826087
"bitter",0.00451807228915663
"biz",0.00742574257425743
"bizarre",0.00925925925925926
"black",0.022316219369895
"blackberry",0.0122950819672131
"blacks",0.00986842105263158
"blah",0.00675675675675676
"blair",0.0125
"blake",0.0189075630252101
"blame",0.0278716216216216
"blamed",0.03515625
"blank",0.0218446601941748
"blanket",0.0135135135135135
"blast",0.00889328063241107
"blazers",0.00230769230769231
"bleeding",0.0120967741935484
"blend",0.0101351351351351
"blended",0.0105633802816901
"blender",0.0120967741935484
"bless",0.0158730158730159
"blessed",0.0144694533762058
"blessing",0.0343511450381679
"blessings",0.00535714285714286
"blew",0.0260869565217391
"blind",0.0179640718562874
"block",0.0185840707964602
"blocked",0.0181451612903226
"blocking",0.0101351351351351
"blocks",0.0272020725388601
"blog",0.00564971751412429
"blogger",0.00451807228915663
"bloggers",0.0116279069767442
"blogging",0.00333333333333333
"blogs",0.00974025974025974
"blonde",0.00700934579439252
"blood",0.0268729641693811
"bloody",0.0220588235294118
"bloom",0.0127118644067797
"blossom",0.0272727272727273
"blow",0.0258620689655172
"blowing",0.0197368421052632
"blown",0.0216346153846154
"blows",0.0368852459016393
"blue",0.0217654171704958
"blues",0.0171009771986971
"blunt",0.0133928571428571
"blvd",0.00641025641025641
"bo",0.00657894736842105
"board",0.0157608695652174
"boards",0.0170454545454545
"boat",0.0219665271966527
"boats",0.0115384615384615
"bob",0.018018018018018
"bobby",0.0116279069767442
"bodies",0.00957446808510638
"body",0.0190355329949239
"boil",0.00852272727272727
"bold",0.018
"bomb",0.0142405063291139
"bombs",0.0127118644067797
"bond",0.0126050420168067
"bonds",0.00568181818181818
"bone",0.017578125
"bones",0.0165441176470588
"bonus",0.0087719298245614
"boo",0.00357142857142857
"boobs",0.0131578947368421
"book",0.0151957417582418
"booked",0.03125
"booker",0.0122950819672131
"booking",0.0107142857142857
"books",0.0167991329479769
"boom",0.0204545454545455
"boost",0.0126404494382022
"boot",0.00675675675675676
"booth",0.0198412698412698
"boots",0.015
"booze",0.0122950819672131
